"Group";"Student";"TEST";"lex";"gram";"writing"
1;"Student1";"pre";23;5;7
1;"Student2";"pre";"16.5";4;5
1;"Student3";"pre";15;4;6
1;"Student4";"pre";"15.5";4;6
2;"Student5";"pre";9;3;0
2;"Student6";"pre";"10.5";"1.5";0
2;"Student7";"pre";8;1;0
2;"Student8";"pre";13;3;1
3;"Student9";"pre";"7.5";1;0
3;"Student10";"pre";6;4;4
3;"Student11";"pre";"8.5";3;0
3;"Student12";"pre";"8.5";5;1
1;"Student1";"post";30;6;9
1;"Student2";"post";"20.5";"5.5";7
1;"Student3";"post";"23.5";5;9
1;"Student4";"post";20;"5.5";9
2;"Student5";"post";16;6;7
2;"Student6";"post";"18.5";4;5
2;"Student7";"post";15;5;6
2;"Student8";"post";"16.5";"6.5";6
3;"Student9";"post";12;2;3
3;"Student10";"post";12;6;5
3;"Student11";"post";19;3;5
3;"Student12";"post";17;6;5
